Time,Time Code,Country Name,Country Code,GDP per capita (current US$) [NY.GDP.PCAP.CD],"Manufacturing, value added (current US$) [NV.IND.MANF.CD]","Population, total [SP.POP.TOTL]"
2021,YR2021,Tonga,TON,4425.97149198516,24347264.9330638,106017
2021,YR2021,Trinidad and Tobago,TTO,16056.3020409273,4609550580.75017,1525663
2021,YR2021,Tunisia,TUN,3807.18410896841,6730979467.64088,12262946
2021,YR2021,Turkiye,TUR,9743.21313092428,182322041514.922,84147318
2021,YR2021,Turkmenistan,TKM,7885.29989591824,..,6341855
2021,YR2021,Turks and Caicos Islands,TCA,23158.6378951102,6196000,45114
2021,YR2021,Tuvalu,TUV,5372.76023865042,..,11204
2021,YR2021,Uganda,UGA,883.465728077878,6657351461.16449,45853778
2021,YR2021,Ukraine,UKR,4827.845703125,20542516948.7758,43822901
2021,YR2021,United Arab Emirates,ARE,44332.3400513163,41525151135.5314,9365145
2021,YR2021,United Kingdom,GBR,46869.759058411,271838164449.98,67026292
2021,YR2021,United States,USA,70219.472454115,2497131582000,332031554
2021,YR2021,Uruguay,URY,17923.9953327961,6638884341.44908,3426260
2021,YR2021,Uzbekistan,UZB,1993.42447787206,13622117646.4477,34915100
2021,YR2021,Vanuatu,VUT,3044.57364031957,..,319137
2021,YR2021,"Venezuela, RB",VEN,..,..,28199867
2021,YR2021,Viet Nam,VNM,3756.48890080884,90133661607.3156,97468029
2021,YR2021,Virgin Islands (U.S.),VIR,41976.0083120809,..,105870
2021,YR2021,West Bank and Gaza,PSE,3678.63565662194,2027000000,4922749
2021,YR2021,"Yemen, Rep.",YEM,543.637537619208,..,32981641
2021,YR2021,Zambia,ZMB,1134.71345424991,4032419855.28247,19473125
2021,YR2021,Zimbabwe,ZWE,1773.92041090285,3530214463.76281,15993524
2021,YR2021,Africa Eastern and Southern,AFE,1545.61321503478,113955142441.37,702977106
2021,YR2021,Africa Western and Central,AFW,1766.94361767929,110611508420.027,478185907
2021,YR2021,Arab World,ARB,6419.16102913915,362021200056.128,456520777
2021,YR2021,Caribbean small states,CSS,10174.3840940633,7532622522.6575,7481877
2021,YR2021,Central Europe and the Baltics,CEB,18814.1458170436,328980323576.382,101413176
2021,YR2021,Early-demographic dividend,EAR,3727.93383484374,2238831653600.84,3411268373
2021,YR2021,East Asia & Pacific,EAS,13138.7246689239,7535969842910.43,2370189840
2021,YR2021,East Asia & Pacific (excluding high income),EAP,9813.00226050914,5552661287469.69,2123628421
2021,YR2021,East Asia & Pacific (IDA & IBRD countries),TEA,9922.04350030871,5547667562972.41,2097669023
2021,YR2021,Euro area,EMU,42527.8427055883,2187133404433.41,346942979
2021,YR2021,Europe & Central Asia,ECS,27420.8134260688,3588345279019.51,923564027
2021,YR2021,Europe & Central Asia (excluding high income),ECA,8912.81407575583,553252797162.575,401682855
2021,YR2021,Europe & Central Asia (IDA & IBRD countries),TEC,9982.81222980684,728676446514.942,462431038
2021,YR2021,European Union,EUU,38721.0779400492,2584389915907.36,447178112
2021,YR2021,Fragile and conflict affected situations,FCS,1779.31329134206,..,1001844479
2021,YR2021,Heavily indebted poor countries (HIPC),HPC,1047.07519807515,99423442008.3347,861156745
2021,YR2021,High income,HIC,48535.4658244281,8022644673927.57,1241268556
2021,YR2021,IBRD only,IBD,7284.44912688649,7902142356908.78,4895372787
2021,YR2021,IDA & IBRD total,IBT,5718.69000304289,8271115567019.26,6695487825
2021,YR2021,IDA blend,IDB,1844.3200096414,140160462238.572,595016031
2021,YR2021,IDA only,IDX,1272.35034845887,229832366623.921,1205099007
2021,YR2021,IDA total,IDA,1461.41110872415,368278546752.644,1800115038
2021,YR2021,Late-demographic dividend,LTE,11556.4864563168,6325477368058.57,2322606486
2021,YR2021,Latin America & Caribbean,LCN,8478.6334058771,937088757373.663,654980630
2021,YR2021,Latin America & Caribbean (excluding high income),LAC,7873.98078159932,677449094367.885,592503434
2021,YR2021,Latin America & the Caribbean (IDA & IBRD countries),TLA,8262.54208532494,874981256994.363,639188695
2021,YR2021,Least developed countries: UN classification,LDC,1151.57131490189,189011876331.356,1098791080
2021,YR2021,Low & middle income,LMY,5526.29613463639,7852368512859.97,6618837270
2021,YR2021,Low income,LIC,678.653210021186,50308092852.9291,685250041
2021,YR2021,Lower middle income,LMC,2405.60357592672,1187797994450.36,3157462375
2021,YR2021,Middle East & North Africa,MEA,7696.00660753972,483552822976.094,486174763
2021,YR2021,Middle East & North Africa (excluding high income),MNA,3590.64385327725,235293440468.426,418047201
2021,YR2021,Middle East & North Africa (IDA & IBRD countries),TMN,3589.59535188784,233263217477.741,413124452
